Koda,Besedilo
CAN_USER_ACCESS_PROFILES_MSG,"Uporabnik lahko dostopa do razdelka profilov"
CAN_USER_ADD_PROFILE_MSG,"Uporabnik lahko doda nove profile"
CAN_USER_EDIT_PROFILE_MSG,"Uporabnik lahko ureja svoje profile"
CAN_USER_DELETE_PROFILE_MSG,"Uporabnik lahko izbriše svoje profile"
AUTO_APPROVE_PROFILE_MSG,"Samodejno odobri poslane profile"
MY_PROFILES_MSG,"Moji profili"
MY_PROFILES_DESC,"Če želite najti nekoga, tukaj preprosto dodajte svoj profil"
ADD_MY_PROFILE_MSG,"Dodati moj profil"
FOUND_PROFILES_MSG,"Našli smo <b> {found_records} </b> profile, ki ustrezajo vašim kriterijem"
NO_PROFILES_MSG,"Profilov ni bilo mogoče najti"
PROFILE_TYPE_FIELD,Jaz
LOOKING_TYPE_FIELD,Iščem
PERSONAL_INFO_FIELD,"Nekaj ​​besed o vas"
LOOKING_INFO_FIELD,"Kaj iščete"
ABOUT_ME_MSG,"O meni"
I_AM_LOOKING_MSG,"Jaz iščem"
MALE_MSG,Moški
FEMALE_MSG,Ženska
PROFILES_LIMIT_MSG,"Omejite profile"
PROFILES_LIMIT_DESC,"število profilov, ki jih lahko doda uporabnik"
PROFILES_LIMIT_ERROR,"Oprostite, ne morete dodati več kot {profile_limit} profilov."
ETHNICITY_MSG,Раса
PROFILE_NEW_ERROR,"Nimate dovoljenj za ustvarjanje novega profila."
PROFILE_EDIT_ERROR,"Nimate dovoljenj za urejanje tega profila."
PROFILE_DELETE_ERROR,"Nimate dovoljenj za brisanje tega profila."
PROFILE_TERMS_ERROR,"Če želite dodati profil, morate prebrati in sprejeti naša pravila in pogoje."
PHOTO_RESTRICTIONS_MSG,"Omejitve fotografij"
PHOTO_TINY_MSG,"Mini fotografija"
PHOTO_SMALL_MSG,"Majhna fotografija"
PHOTO_LARGE_MSG,"Velika fotografija"
PHOTO_SUPER_MSG,"Ogromna fotografija"
GENERATE_TINY_PHOTO_MSG,"ustvariti mini fotografijo"
GENERATE_SMALL_PHOTO_MSG,"ustvariti majhno fotografijo"
GENERATE_LARGE_PHOTO_MSG,"ustvariti veliko fotografijo"
GENERATE_SUPER_PHOTO_MSG,"ustvariti ogromno fotografijo"
